Entity,Year,Population
Ethiopia,1990,47878073
Ethiopia,1991,49937430
Ethiopia,1992,52011554
Ethiopia,1993,53791672
Ethiopia,1994,55620211
Ethiopia,1995,57476536
Ethiopia,1996,59347649
Ethiopia,1997,61233480
Ethiopia,1998,63136493
Ethiopia,1999,65077579
Ethiopia,2000,67031867
Ethiopia,2001,69018932
Ethiopia,2002,71073215
Ethiopia,2003,73168838
Ethiopia,2004,75301026
Ethiopia,2005,77469940
Ethiopia,2006,79691050
Ethiopia,2007,81996185
Ethiopia,2008,84357105
Ethiopia,2009,86755585
Ethiopia,2010,89237791
Ethiopia,2011,91817929
Ethiopia,2012,94451280
Ethiopia,2013,97084366
Ethiopia,2014,99746766
Ethiopia,2015,102471895
Ethiopia,2016,105293228
Ethiopia,2017,108197950
Ethiopia,2018,111129438
Ethiopia,2019,114120594
Europe & Central Asia,1990,841536999
Europe & Central Asia,1991,845399658
Europe & Central Asia,1992,848878429
Europe & Central Asia,1993,851973886
Europe & Central Asia,1994,854082087
Europe & Central Asia,1995,855490982
Europe & Central Asia,1996,856856802
Europe & Central Asia,1997,853163120
Europe & Central Asia,1998,859296518
Europe & Central Asia,1999,860311870
Europe & Central Asia,2000,861270071
Europe & Central Asia,2001,862339994
Europe & Central Asia,2002,863908064
Europe & Central Asia,2003,866189044
Europe & Central Asia,2004,868783653
Europe & Central Asia,2005,871433207
Europe & Central Asia,2006,874314287
Europe & Central Asia,2007,877278821
Europe & Central Asia,2008,880911644
Europe & Central Asia,2009,884448855
Europe & Central Asia,2010,887904313
Europe & Central Asia,2011,890136603
Europe & Central Asia,2012,893755804
Europe & Central Asia,2013,898022522
Europe & Central Asia,2014,902367876
Europe & Central Asia,2015,906669764
Europe & Central Asia,2016,910870489
Europe & Central Asia,2017,914608311
Europe & Central Asia,2018,918031055
Europe & Central Asia,2019,920807612
European Region,1990,420477999
European Region,1991,421730520
European Region,1992,422963890
European Region,1993,424341124
European Region,1994,425399126
European Region,1995,426203356
European Region,1996,426896861
European Region,1997,427538048
European Region,1998,428109867
European Region,1999,428815486
European Region,2000,429328622
European Region,2001,429895628
European Region,2002,430881947
European Region,2003,432415932
European Region,2004,434040244
European Region,2005,435581949
European Region,2006,436998045
European Region,2007,438468397
European Region,2008,439876674
European Region,2009,440917801
European Region,2010,441532415
European Region,2011,440746989
European Region,2012,441395937
European Region,2013,442469469
European Region,2014,443576675
European Region,2015,444543761
European Region,2016,445487730
European Region,2017,446186344
European Region,2018,446915113
European Region,2019,447197811
Gabon,1990,949493
Gabon,1991,975785
Gabon,1992,1002573
Gabon,1993,1029769
Gabon,1994,1057252
Gabon,1995,1084951
Gabon,1996,1112944
Gabon,1997,1141332
Gabon,1998,1170061
Gabon,1999,1199058
Gabon,2000,1228359
Gabon,2001,1258008
Gabon,2002,1288310
Gabon,2003,1319946
Gabon,2004,1353788
Gabon,2005,1390550
Gabon,2006,1430144
Gabon,2007,1472565
Gabon,2008,1518538
Gabon,2009,1568925
Gabon,2010,1624146
Gabon,2011,1684629
Gabon,2012,1749677
Gabon,2013,1817070
Gabon,2014,1883801
Gabon,2015,1947690
Gabon,2016,2007882
Gabon,2017,2064812
Gabon,2018,2119275
Gabon,2019,2172578
